complaint,category,priority,department
Public toilet is dirty near hospital after rain.,Health & Hygiene,High,health
Dirty water is coming in tap near hospital from last night.,Water Supply,High,water
There is a getting worse pothole in my street after rain.,Road & Infrastructure,Medium,roads
Public issue needs attention near railway gate for many days.,General,Medium,general
Complaint about local problem near railway gate since yesterday.,General,Medium,general
Multiple street lights damaged near bridge for 3 days.,Street Lights,Medium,streetlights
Fire incident reported near railway gate from last night. Need immediate help.,Emergency,High,emergency
Dead animal not removed behind the apartment after rain.,Sanitation,Medium,sanitation
Kindly check and resolve the issue in my street since yesterday.,General,Medium,general
Electrocution hazard near railway gate daily. Very dangerous.,Emergency,High,emergency
Stray animals near school in my street for 1 week.,Animal Control,Medium,animals
Broken footpath behind the apartment for 3 days. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Water supply is not coming near temple since yesterday.,Water Supply,Medium,water
Public toilet is dirty in our area after rain.,Health & Hygiene,Medium,health
Road surface is damaged near school after rain. Vehicles are struggling to pass.,Road & Infrastructure,Medium,roads
Electrocution hazard near junction daily. Very dangerous.,Emergency,High,emergency
Broken footpath near school for 1 week. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Accident happened near bus stop for 3 days. Ambulance required.,Emergency,High,emergency
Stray animals near school near market for 1 week.,Animal Control,Medium,animals
Request immediate action near hospital daily.,General,High,general
Request immediate action near railway gate since morning.,General,Medium,general
Speed breaker damaged near junction for 1 week. Causing traffic issues.,Road & Infrastructure,Medium,roads
Request immediate action near hospital for 1 week.,General,High,general
Drain water stagnation in my street for 1 week.,Drainage & Sewage,Medium,drainage
Accident happened near bridge from last night. Ambulance required.,Emergency,High,emergency
Dustbin overflowing near hospital for 3 days.,Sanitation,High,sanitation
Open manhole on the road near bus stop after rain. Accident risk is high.,Road & Infrastructure,High,roads
Electric pole wire loose near temple for 1 week.,Electricity,Medium,electricity
Fire incident reported near bus stop from last night. Need immediate help.,Emergency,High,emergency
Kindly check and resolve the issue near junction for 3 days.,General,Medium,general
Dog barking and chasing vehicles near school for many days.,Animal Control,Medium,animals
Flickering street light near bus stop every morning.,Street Lights,Medium,streetlights
Drain cover broken near junction since yesterday.,Drainage & Sewage,Medium,drainage
Electric pole wire loose near school after rain.,Electricity,Medium,electricity
Stagnant water causing mosquitoes at main road daily.,Health & Hygiene,Medium,health
Broken footpath near park for many days. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Building collapse risk in our area from last month. Please check urgently.,Emergency,High,emergency
Open manhole on the road near railway gate for 3 days. Accident risk is high.,Road & Infrastructure,High,roads
Cows blocking road at main road for 3 days.,Animal Control,Medium,animals
Voltage fluctuation in our area for 1 week. Appliances are getting damaged.,Electricity,Medium,electricity
Fire incident reported near railway gate after rain. Need immediate help.,Emergency,High,emergency
Broken footpath in our area after rain. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Need help regarding civic issue near market daily.,General,Medium,general
Open manhole on the road near bridge from last month. Accident risk is high.,Road & Infrastructure,High,roads
Electric pole wire loose near market after rain.,Electricity,Medium,electricity
Bad smell and hygiene issue near bus stop for 1 week.,Health & Hygiene,Medium,health
Dirty water is coming in tap near junction for 3 days.,Water Supply,Medium,water
Power cut in our area since yesterday.,Electricity,Medium,electricity
Multiple street lights damaged near market from last month.,Street Lights,Medium,streetlights
Dead animal not removed behind the apartment for many days.,Sanitation,Medium,sanitation
Drain cover broken near park since yesterday.,Drainage & Sewage,Medium,drainage
Public issue needs attention at main road every morning.,General,Medium,general
Dead animal not removed near junction since morning.,Sanitation,Medium,sanitation
Water overflow near pipeline behind the apartment for 1 week.,Water Supply,Medium,water
Transformer sparking near hospital for many days.,Electricity,High,electricity
Stray animals near school near hospital every morning.,Animal Control,High,animals
Dog barking and chasing vehicles near school from last month.,Animal Control,Medium,animals
Waste dumped openly near bus stop for 3 days.,Sanitation,Medium,sanitation
Complaint about local problem near junction for 1 week.,General,Medium,general
Garbage burning smell near bus stop from last month.,Sanitation,Medium,sanitation
Cows blocking road behind the apartment for many days.,Animal Control,Medium,animals
Garbage burning smell near temple for many days.,Sanitation,Medium,sanitation
Building collapse risk near bridge daily. Please check urgently.,Emergency,High,emergency
Dirty water is coming in tap in our area for many days.,Water Supply,Medium,water
Dustbin overflowing near bus stop for 1 week.,Sanitation,Medium,sanitation
Stagnant water causing mosquitoes near bus stop after rain.,Health & Hygiene,Medium,health
Public toilet is dirty near hospital for 3 days.,Health & Hygiene,High,health
Stagnant water causing mosquitoes near school from last night.,Health & Hygiene,Medium,health
Multiple street lights damaged in 2nd street every morning.,Street Lights,Medium,streetlights
Street light not working in 2nd street daily.,Street Lights,Medium,streetlights
Broken footpath near school from last night. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Low water pressure near temple every morning.,Water Supply,Medium,water
Aggressive stray dog bite risk at main road since morning.,Animal Control,High,animals
There is a water pipeline leak near railway gate since morning.,Water Supply,Medium,water
Broken footpath in 2nd street for many days. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Cows blocking road near temple from last month.,Animal Control,Medium,animals
Gas leak smell near school since yesterday. Please respond fast.,Emergency,High,emergency
Street light not working near school from last night.,Street Lights,Medium,streetlights
There is a water pipeline leak near bridge daily.,Water Supply,Medium,water
Public issue needs attention near railway gate since morning.,General,Medium,general
Public issue needs attention in 2nd street for 1 week.,General,Medium,general
Building collapse risk near bridge every morning. Please check urgently.,Emergency,High,emergency
Electricity not available in my street daily.,Electricity,Medium,electricity
Mosquito problem is serious in my street daily. Dengue risk.,Health & Hygiene,Medium,health
Broken footpath near school every morning. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Electricity not available near park for many days.,Electricity,Medium,electricity
Electrocution hazard near market every morning. Very dangerous.,Emergency,High,emergency
There is a water pipeline leak near market every morning.,Water Supply,Medium,water
Aggressive stray dog bite risk near temple after rain.,Animal Control,High,animals
Water overflow near pipeline in 2nd street after rain.,Water Supply,Medium,water
Dog barking and chasing vehicles near school since yesterday.,Animal Control,Medium,animals
Drain water stagnation near park since morning.,Drainage & Sewage,Medium,drainage
Waste dumped openly near school for 1 week.,Sanitation,Medium,sanitation
Mosquito problem is very severe near park daily. Dengue risk.,Health & Hygiene,Medium,health
Complaint about local problem near park every morning.,General,Medium,general
Flickering street light in my street every morning.,Street Lights,Medium,streetlights
Open manhole on the road in my street from last night. Accident risk is high.,Road & Infrastructure,High,roads
Sewage overflow at main road for many days. Bad smell everywhere.,Drainage & Sewage,Medium,drainage
Public issue needs attention near junction for 1 week.,General,Medium,general
Need help regarding civic issue in my street from last night.,General,Medium,general
Bad smell and hygiene issue in our area daily.,Health & Hygiene,Medium,health
Aggressive stray dog bite risk near hospital since morning.,Animal Control,High,animals
Power cut near park from last month.,Electricity,Medium,electricity
Street light not working near bridge for many days.,Street Lights,Medium,streetlights
Public issue needs attention near bus stop from last night.,General,Medium,general
Manhole overflow behind the apartment every morning.,Drainage & Sewage,Medium,drainage
Accident happened in 2nd street for many days. Ambulance required.,Emergency,High,emergency
Broken footpath at main road from last month. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Drain cover broken in our area from last month.,Drainage & Sewage,Medium,drainage
Cows blocking road near park every morning.,Animal Control,Medium,animals
Dead animal not removed near bus stop since yesterday.,Sanitation,Medium,sanitation
Need help regarding civic issue near market for many days.,General,Medium,general
Need help regarding civic issue near market for many days.,General,Medium,general
Drainage is blocked in my street from last night. Water is overflowing.,Drainage & Sewage,Medium,drainage
Drain cover broken near bus stop after rain.,Drainage & Sewage,Medium,drainage
Lamp post broken near school for 1 week.,Street Lights,Medium,streetlights
Electricity not available near school for 1 week.,Electricity,Medium,electricity
Dead animal not removed at main road for 3 days.,Sanitation,Medium,sanitation
Waste dumped openly near bus stop daily.,Sanitation,Medium,sanitation
Sewage overflow near bridge for 3 days. Bad smell everywhere.,Drainage & Sewage,Medium,drainage
Garbage burning smell near junction after rain.,Sanitation,Medium,sanitation
Power cut near park from last month.,Electricity,Medium,electricity
Dirty water is coming in tap in my street for 3 days.,Water Supply,Medium,water
Kindly check and resolve the issue near park every morning.,General,Medium,general
Road surface is damaged near junction after rain. Vehicles are struggling to pass.,Road & Infrastructure,Medium,roads
Aggressive stray dog bite risk near temple for 1 week.,Animal Control,High,animals
Electric pole wire loose near school since morning.,Electricity,Medium,electricity
Dustbin overflowing near bus stop since yesterday.,Sanitation,Medium,sanitation
Road surface is damaged near park after rain. Vehicles are struggling to pass.,Road & Infrastructure,Medium,roads
Garbage is not collected near bus stop every morning.,Sanitation,Medium,sanitation
Water supply is not coming near school for 1 week.,Water Supply,Medium,water
Aggressive stray dog bite risk near market from last night.,Animal Control,High,animals
Electric pole wire loose near school from last night.,Electricity,Medium,electricity
Low water pressure near market every morning.,Water Supply,Medium,water
Electrocution hazard in my street for 1 week. Very dangerous.,Emergency,High,emergency
There is a serious pothole near park for 3 days.,Road & Infrastructure,Medium,roads
Electricity not available near temple for many days.,Electricity,Medium,electricity
Drain cover broken near school for 1 week.,Drainage & Sewage,Medium,drainage
Garbage is not collected near bridge since yesterday.,Sanitation,Medium,sanitation
Transformer sparking near market for 1 week.,Electricity,High,electricity
Flickering street light in my street daily.,Street Lights,Medium,streetlights
Stagnant water causing mosquitoes near bridge every morning.,Health & Hygiene,Medium,health
Fever cases increasing due to mosquitoes near school for 1 week.,Health & Hygiene,Medium,health
Fire incident reported near temple for many days. Need immediate help.,Emergency,High,emergency
Stray animals near school near market from last night.,Animal Control,Medium,animals
Public toilet is dirty near market since yesterday.,Health & Hygiene,Medium,health
Electricity not available behind the apartment since morning.,Electricity,Medium,electricity
Need help regarding civic issue near park for 1 week.,General,Medium,general
Kindly check and resolve the issue near hospital since yesterday.,General,High,general
Lamp post broken near temple after rain.,Street Lights,Medium,streetlights
Voltage fluctuation near bridge for many days. Appliances are getting damaged.,Electricity,Medium,electricity
Drainage is blocked near market since yesterday. Water is overflowing.,Drainage & Sewage,Medium,drainage
Drain cover broken near school since yesterday.,Drainage & Sewage,Medium,drainage
Road surface is damaged behind the apartment after rain. Vehicles are struggling to pass.,Road & Infrastructure,Medium,roads
Garbage is not collected near temple daily.,Sanitation,Medium,sanitation
Request immediate action behind the apartment every morning.,General,Medium,general
Drain water stagnation near bridge for many days.,Drainage & Sewage,Medium,drainage
Electric pole wire loose near hospital daily.,Electricity,High,electricity
Bad smell and hygiene issue near railway gate from last night.,Health & Hygiene,Medium,health
Waste dumped openly in my street from last night.,Sanitation,Medium,sanitation
Garbage is not collected near junction for many days.,Sanitation,Medium,sanitation
Cows blocking road near junction from last month.,Animal Control,Medium,animals
Public issue needs attention in my street for 3 days.,General,Medium,general
Dead animal not removed near hospital daily.,Sanitation,High,sanitation
Broken footpath in 2nd street every morning. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Lamp post broken near railway gate daily.,Street Lights,Medium,streetlights
Low water pressure near market daily.,Water Supply,Medium,water
Street light not working in our area since morning.,Street Lights,Medium,streetlights
Drainage is blocked in our area after rain. Water is overflowing.,Drainage & Sewage,Medium,drainage
Aggressive stray dog bite risk near park after rain.,Animal Control,High,animals
Broken footpath at main road daily. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Need help regarding civic issue behind the apartment from last night.,General,Medium,general
Waste dumped openly near temple for 1 week.,Sanitation,Medium,sanitation
Dustbin overflowing behind the apartment after rain.,Sanitation,Medium,sanitation
Request immediate action in my street every morning.,General,Medium,general
Public issue needs attention in my street after rain.,General,Medium,general
Electrocution hazard near railway gate from last night. Very dangerous.,Emergency,High,emergency
Street light not working in 2nd street from last night.,Street Lights,Medium,streetlights
Drainage is blocked near market since yesterday. Water is overflowing.,Drainage & Sewage,Medium,drainage
Dirty water is coming in tap near bridge after rain.,Water Supply,Medium,water
Building collapse risk in 2nd street for many days. Please check urgently.,Emergency,High,emergency
Gas leak smell near market every morning. Please respond fast.,Emergency,High,emergency
Street light not working behind the apartment for 3 days.,Street Lights,Medium,streetlights
Water supply is not coming in 2nd street for 1 week.,Water Supply,Medium,water
Broken footpath near market for 3 days. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Electric pole wire loose in 2nd street for many days.,Electricity,Medium,electricity
Dog barking and chasing vehicles near park after rain.,Animal Control,Medium,animals
Fever cases increasing due to mosquitoes near bridge for 1 week.,Health & Hygiene,Medium,health
Public toilet is dirty in my street since morning.,Health & Hygiene,Medium,health
Bad smell and hygiene issue near railway gate for many days.,Health & Hygiene,Medium,health
Lamp post broken near temple for 1 week.,Street Lights,Medium,streetlights
Lamp post broken in my street daily.,Street Lights,Medium,streetlights
Dustbin overflowing at main road for 1 week.,Sanitation,Medium,sanitation
Manhole overflow behind the apartment since morning.,Drainage & Sewage,Medium,drainage
Manhole overflow at main road from last month.,Drainage & Sewage,Medium,drainage
Speed breaker damaged in my street after rain. Causing traffic issues.,Road & Infrastructure,Medium,roads
Dustbin overflowing in our area from last month.,Sanitation,Medium,sanitation
Dirty water is coming in tap in my street every morning.,Water Supply,Medium,water
Lamp post broken near railway gate since yesterday.,Street Lights,Medium,streetlights
Water supply is not coming near railway gate for 3 days.,Water Supply,Medium,water
Lamp post broken behind the apartment for 1 week.,Street Lights,Medium,streetlights
Voltage fluctuation near temple from last month. Appliances are getting damaged.,Electricity,Medium,electricity
Aggressive stray dog bite risk near temple for many days.,Animal Control,High,animals
Public toilet is dirty behind the apartment for many days.,Health & Hygiene,Medium,health
Sewage overflow at main road after rain. Bad smell everywhere.,Drainage & Sewage,Medium,drainage
Low water pressure in my street daily.,Water Supply,Medium,water
Fire incident reported near temple since yesterday. Need immediate help.,Emergency,High,emergency
There is a water pipeline leak near bus stop since morning.,Water Supply,Medium,water
Broken footpath near bus stop daily. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Fire incident reported in 2nd street for 3 days. Need immediate help.,Emergency,High,emergency
Low water pressure near temple since morning.,Water Supply,Medium,water
Public issue needs attention near temple from last night.,General,Medium,general
Dustbin overflowing near bus stop after rain.,Sanitation,Medium,sanitation
Garbage is not collected behind the apartment for many days.,Sanitation,Medium,sanitation
Dog barking and chasing vehicles behind the apartment for 3 days.,Animal Control,Medium,animals
Voltage fluctuation near junction for 3 days. Appliances are getting damaged.,Electricity,Medium,electricity
Electricity not available in 2nd street for 3 days.,Electricity,Medium,electricity
Mosquito problem is massive in 2nd street every morning. Dengue risk.,Health & Hygiene,Medium,health
Sewage overflow near temple for 3 days. Bad smell everywhere.,Drainage & Sewage,Medium,drainage
Fire incident reported near hospital since yesterday. Need immediate help.,Emergency,High,emergency
Request immediate action near school for 3 days.,General,Medium,general
Water overflow near pipeline near railway gate from last night.,Water Supply,Medium,water
Sewage overflow in my street daily. Bad smell everywhere.,Drainage & Sewage,Medium,drainage
Transformer sparking near bus stop from last night.,Electricity,High,electricity
Drain water stagnation at main road after rain.,Drainage & Sewage,Medium,drainage
Dirty water is coming in tap in my street daily.,Water Supply,Medium,water
Drain cover broken near railway gate from last month.,Drainage & Sewage,Medium,drainage
Dustbin overflowing in my street from last month.,Sanitation,Medium,sanitation
Transformer sparking near railway gate for 1 week.,Electricity,High,electricity
Kindly check and resolve the issue near junction for many days.,General,Medium,general
Gas leak smell near bridge for 3 days. Please respond fast.,Emergency,High,emergency
Flickering street light near temple for 1 week.,Street Lights,Medium,streetlights
Request immediate action in our area from last month.,General,Medium,general
Power cut near school since morning.,Electricity,Medium,electricity
Voltage fluctuation near temple after rain. Appliances are getting damaged.,Electricity,Medium,electricity
Low water pressure at main road since yesterday.,Water Supply,Medium,water
Lamp post broken near school after rain.,Street Lights,Medium,streetlights
Garbage burning smell near market every morning.,Sanitation,Medium,sanitation
Accident happened in 2nd street every morning. Ambulance required.,Emergency,High,emergency
Stray animals near school near railway gate for 1 week.,Animal Control,Medium,animals
Stray animals near school at main road every morning.,Animal Control,Medium,animals
Open manhole on the road in 2nd street for 3 days. Accident risk is high.,Road & Infrastructure,High,roads
Bad smell and hygiene issue near market since yesterday.,Health & Hygiene,Medium,health
Gas leak smell near railway gate since yesterday. Please respond fast.,Emergency,High,emergency
Dead animal not removed in our area for 3 days.,Sanitation,Medium,sanitation
Complaint about local problem behind the apartment for many days.,General,Medium,general
Water supply is not coming near railway gate from last month.,Water Supply,Medium,water
Flickering street light at main road for many days.,Street Lights,Medium,streetlights
Mosquito problem is huge near hospital since yesterday. Dengue risk.,Health & Hygiene,High,health
Accident happened near school for 3 days. Ambulance required.,Emergency,High,emergency
Cows blocking road in 2nd street daily.,Animal Control,Medium,animals
Request immediate action at main road since morning.,General,Medium,general
Street lights are off near junction daily. Unsafe at night.,Street Lights,Medium,streetlights
Accident happened near temple since yesterday. Ambulance required.,Emergency,High,emergency
Stray dogs causing trouble near park after rain.,Animal Control,Medium,animals
Electricity not available behind the apartment every morning.,Electricity,Medium,electricity
Voltage fluctuation at main road for many days. Appliances are getting damaged.,Electricity,Medium,electricity
There is a getting worse pothole in my street from last night.,Road & Infrastructure,Medium,roads
There is a water pipeline leak near school for 3 days.,Water Supply,Medium,water
Kindly check and resolve the issue at main road from last month.,General,Medium,general
Dog barking and chasing vehicles near railway gate from last night.,Animal Control,Medium,animals
Drain cover broken at main road daily.,Drainage & Sewage,Medium,drainage
Multiple street lights damaged near hospital from last night.,Street Lights,High,streetlights
Flickering street light near hospital from last month.,Street Lights,High,streetlights
Water supply is not coming near temple for many days.,Water Supply,Medium,water
Aggressive stray dog bite risk in my street for many days.,Animal Control,High,animals
Transformer sparking at main road for many days.,Electricity,High,electricity
There is a dangerous pothole near bridge from last night.,Road & Infrastructure,High,roads
Multiple street lights damaged in 2nd street for 3 days.,Street Lights,Medium,streetlights
Electric pole wire loose in my street from last night.,Electricity,Medium,electricity
Transformer sparking near railway gate for many days.,Electricity,High,electricity
Electrocution hazard near bridge from last month. Very dangerous.,Emergency,High,emergency
Garbage is not collected in 2nd street since morning.,Sanitation,Medium,sanitation
Low water pressure near park daily.,Water Supply,Medium,water
Bad smell and hygiene issue near bus stop for many days.,Health & Hygiene,Medium,health
Lamp post broken near temple from last night.,Street Lights,Medium,streetlights
Transformer sparking near school for many days.,Electricity,High,electricity
There is a continuous pothole near market for 3 days.,Road & Infrastructure,Medium,roads
Public issue needs attention behind the apartment every morning.,General,Medium,general
Lamp post broken in 2nd street since morning.,Street Lights,Medium,streetlights
Gas leak smell near bridge for many days. Please respond fast.,Emergency,High,emergency
Fever cases increasing due to mosquitoes in our area for 3 days.,Health & Hygiene,Medium,health
Dog barking and chasing vehicles behind the apartment since morning.,Animal Control,Medium,animals
Multiple street lights damaged near railway gate daily.,Street Lights,Medium,streetlights
Drainage is blocked near hospital for many days. Water is overflowing.,Drainage & Sewage,High,drainage
Voltage fluctuation in 2nd street daily. Appliances are getting damaged.,Electricity,Medium,electricity
Electrocution hazard near junction every morning. Very dangerous.,Emergency,High,emergency
Electric pole wire loose in 2nd street daily.,Electricity,Medium,electricity
Cows blocking road near bridge every morning.,Animal Control,Medium,animals
Dirty water is coming in tap behind the apartment from last night.,Water Supply,Medium,water
Electric pole wire loose near bus stop from last night.,Electricity,Medium,electricity
Cows blocking road near bridge for many days.,Animal Control,Medium,animals
There is a frequent pothole near market daily.,Road & Infrastructure,Medium,roads
Electricity not available in our area for 3 days.,Electricity,Medium,electricity
Aggressive stray dog bite risk in 2nd street after rain.,Animal Control,High,animals
Fever cases increasing due to mosquitoes in 2nd street every morning.,Health & Hygiene,Medium,health
Request immediate action near park every morning.,General,Medium,general
Drain cover broken near junction after rain.,Drainage & Sewage,Medium,drainage
Open manhole on the road in my street from last night. Accident risk is high.,Road & Infrastructure,High,roads
Low water pressure in my street daily.,Water Supply,Medium,water
Power cut near bus stop for 3 days.,Electricity,Medium,electricity
Cows blocking road near park from last month.,Animal Control,Medium,animals
Gas leak smell near bridge for 1 week. Please respond fast.,Emergency,High,emergency
Street light not working near hospital for 3 days.,Street Lights,High,streetlights
Electric pole wire loose in 2nd street after rain.,Electricity,Medium,electricity
Sewage overflow near junction since morning. Bad smell everywhere.,Drainage & Sewage,Medium,drainage
Power cut near park every morning.,Electricity,Medium,electricity
Kindly check and resolve the issue near market from last month.,General,Medium,general
Kindly check and resolve the issue near market since yesterday.,General,Medium,general
Water overflow near pipeline near railway gate for many days.,Water Supply,Medium,water
Dustbin overflowing near hospital for 3 days.,Sanitation,High,sanitation
Street light not working near park daily.,Street Lights,Medium,streetlights
Dustbin overflowing in our area daily.,Sanitation,Medium,sanitation
Flickering street light near school after rain.,Street Lights,Medium,streetlights
Cows blocking road in our area daily.,Animal Control,Medium,animals
Aggressive stray dog bite risk near railway gate for 1 week.,Animal Control,High,animals
Speed breaker damaged near temple since morning. Causing traffic issues.,Road & Infrastructure,Medium,roads
Low water pressure behind the apartment every morning.,Water Supply,Medium,water
Public issue needs attention in our area every morning.,General,Medium,general
Water supply is not coming in my street daily.,Water Supply,Medium,water
Speed breaker damaged near market from last night. Causing traffic issues.,Road & Infrastructure,Medium,roads
Lamp post broken in our area daily.,Street Lights,Medium,streetlights
There is a water pipeline leak in 2nd street for 3 days.,Water Supply,Medium,water
Request immediate action near hospital after rain.,General,High,general
Flickering street light in our area every morning.,Street Lights,Medium,streetlights
Transformer sparking near bus stop from last night.,Electricity,High,electricity
Mosquito problem is dangerous near bridge daily. Dengue risk.,Health & Hygiene,High,health
Dead animal not removed near bridge from last night.,Sanitation,Medium,sanitation
